scenario,scenario_label,condition,n,accuracy,precision,recall,f1,mcc,cohen_kappa,auc,pr_auc,ece,brier_score,log_loss,confidence_mean,confidence_std,model
scenario1,S1 (biased benchmark),A,1200,0.5525,0.5745,0.4050,0.4751,0.1099,0.1050,0.5611,0.5569,0.1326,0.2721,0.7820,0.4719,0.2096,gpt-5.4-mini
scenario1,S1 (biased benchmark),B,1200,0.5508,0.5609,0.4683,0.5104,0.1031,0.1017,0.5253,0.5086,0.1255,0.2770,0.8125,0.5281,0.1768,gpt-5.4-mini
scenario2_local_inpaint,"S2 (local inpaint, bias-free)",A,1200,0.6408,0.6388,0.6483,0.6435,0.2817,0.2817,0.6636,0.6540,0.0967,0.2391,0.7178,0.5411,0.2215,gpt-5.4-mini
scenario2_local_inpaint,"S2 (local inpaint, bias-free)",B,1198,0.5818,0.5976,0.5050,0.5474,0.1658,0.1638,0.5913,0.5792,0.0854,0.2558,0.7172,0.5219,0.1772,gpt-5.4-mini
scenario2_self_cond,"S2 (self-conditioned, bias-free)",A,1200,0.7658,0.7032,0.9200,0.7971,0.5589,0.5317,0.8358,0.7947,0.1155,0.1817,0.6032,0.6139,0.2334,gpt-5.4-mini
scenario2_self_cond,"S2 (self-conditioned, bias-free)",B,1199,0.6622,0.6525,0.6928,0.6721,0.3251,0.3245,0.6884,0.6784,0.0736,0.2305,0.6659,0.5535,0.1841,gpt-5.4-mini
scenario1,S1 (biased benchmark),A,1198,0.8331,0.7529,0.9917,0.8559,0.7024,0.6661,0.9150,0.8673,0.1193,0.1272,0.5712,0.6193,0.4193,gemini-2.5-pro
scenario1,S1 (biased benchmark),B,1194,0.6449,0.6629,0.5849,0.6214,0.2915,0.2895,0.6633,0.6316,0.1188,0.2569,1.3637,0.4741,0.2892,gemini-2.5-pro
scenario2_local_inpaint,"S2 (local inpaint, bias-free)",A,1199,0.7256,0.7865,0.6200,0.6934,0.4618,0.4513,0.7489,0.7549,0.1905,0.2363,1.6794,0.3845,0.4104,gemini-2.5-pro
scenario2_local_inpaint,"S2 (local inpaint, bias-free)",B,1197,0.5965,0.6218,0.4942,0.5507,0.1973,0.1931,0.6060,0.5877,0.1603,0.2844,1.5430,0.4459,0.2918,gemini-2.5-pro
scenario2_self_cond,"S2 (self-conditioned, bias-free)",A,1199,0.7606,0.7882,0.7133,0.7489,0.5237,0.5213,0.8029,0.7871,0.1586,0.2031,1.2228,0.4334,0.4235,gemini-2.5-pro
scenario2_self_cond,"S2 (self-conditioned, bias-free)",B,1196,0.6104,0.6396,0.5117,0.5685,0.2258,0.2212,0.6180,0.5990,0.1568,0.2824,1.5733,0.4499,0.2999,gemini-2.5-pro
scenario1,S1 (biased benchmark),A,200,0.7450,0.6929,0.8800,0.7753,0.5089,0.4900,0.8073,0.7968,0.1001,0.1870,0.5654,0.5793,0.3131,claude-sonnet-4-6
scenario1,S1 (biased benchmark),B,200,0.7450,0.6870,0.9000,0.7792,0.5154,0.4900,0.7793,0.7363,0.0991,0.1921,0.5844,0.5615,0.3009,claude-sonnet-4-6
scenario2_local_inpaint,"S2 (local inpaint, bias-free)",A,200,0.5250,0.5439,0.3100,0.3949,0.0554,0.0500,0.5453,0.5382,0.3372,0.3588,1.0537,0.3427,0.3221,claude-sonnet-4-6
scenario2_local_inpaint,"S2 (local inpaint, bias-free)",B,199,0.5126,0.5238,0.3300,0.4049,0.0290,0.0269,0.5677,0.5803,0.2780,0.3242,0.9292,0.3675,0.3011,claude-sonnet-4-6
scenario2_self_cond,"S2 (self-conditioned, bias-free)",A,200,0.6750,0.7273,0.5600,0.6328,0.3596,0.3500,0.7420,0.7230,0.1820,0.2404,0.7105,0.4199,0.3508,claude-sonnet-4-6
scenario2_self_cond,"S2 (self-conditioned, bias-free)",B,200,0.6550,0.6703,0.6100,0.6387,0.3113,0.3100,0.6852,0.6551,0.1693,0.2479,0.7501,0.4326,0.3277,claude-sonnet-4-6
