scenario,condition,n,faithfulness_mean,tool_presence_mean,numeric_grounding_mean,trace_has_output_rate,hallucination_rate,evidence_verdict_alignment_mean,reasoning_connectivity_mean,compactness_mean,category_coverage_ratio_mean,forensic_specificity_ratio,manipulation_term_count,content_term_count,evidence_count,has_plain_language_rate,self_cal_pearson_r,self_cal_spearman_r,n_code_mean,n_web_mean,tool_success_rate,model
scenario1,A,1200,,,,0.0000,0.0000,0.8250,0.1594,0.6054,0.2789,0.0021,0.1583,12.8117,4.1542,1.0000,0.0246,0.0207,0.0000,0.0000,,gpt-5.4-mini
scenario1,B,1200,0.4996,0.9992,0.0000,0.0000,0.0308,0.6692,0.0488,0.9731,0.4156,0.0372,19.6517,2.5042,3.8475,1.0000,0.0224,0.0156,5.4158,0.0000,,gpt-5.4-mini
scenario2_local_inpaint,A,1200,,,,0.0000,0.0000,0.8475,0.1539,0.6212,0.2875,0.0020,0.1600,12.4033,4.1775,1.0000,0.0746,0.0854,0.0000,0.0000,,gpt-5.4-mini
scenario2_local_inpaint,B,1198,0.5000,1.0000,0.0000,0.0000,0.0433,0.7070,0.0482,0.9718,0.4167,0.0372,19.4575,2.8600,3.8625,0.9983,-0.0222,-0.0123,5.3008,0.0000,,gpt-5.4-mini
scenario2_self_cond,A,1200,,,,0.0000,0.0000,0.8950,0.1464,0.6171,0.2860,0.0021,0.1008,12.7967,4.1783,1.0000,0.2210,0.2181,0.0000,0.0000,,gpt-5.4-mini
scenario2_self_cond,B,1199,0.5000,1.0000,0.0000,0.0000,0.0375,0.7440,0.0490,0.9710,0.4172,0.0370,19.2658,2.7192,3.8692,0.9992,0.0601,0.0588,5.2217,0.0000,,gpt-5.4-mini
scenario1,A,1198,,,,0.0000,0.0108,0.9616,0.0877,0.6457,0.2590,0.0057,0.6533,19.7675,3.6467,0.9983,0.1563,0.1488,0.0000,0.0000,,gemini-2.5-pro
scenario1,B,1194,0.9834,0.9858,0.9811,0.9808,0.0192,0.9472,0.0822,0.9918,0.3836,0.0297,33.7667,9.3825,3.4842,0.9950,0.0878,0.0884,3.2925,0.0025,1.0000,gemini-2.5-pro
scenario2_local_inpaint,A,1199,,,,0.0000,0.0058,0.9383,0.0975,0.6747,0.2683,0.0063,0.9775,16.1883,3.6108,0.9992,0.1314,0.1208,0.0000,0.0000,,gemini-2.5-pro
scenario2_local_inpaint,B,1197,0.9944,0.9975,0.9913,0.9950,0.0058,0.9666,0.0833,0.9878,0.3786,0.0308,33.5450,7.8408,3.4558,0.9975,-0.0122,-0.0046,3.4658,0.0058,1.0000,gemini-2.5-pro
scenario2_self_cond,A,1199,,,,0.0000,0.0117,0.9425,0.0966,0.6627,0.2639,0.0060,0.8583,16.9425,3.6092,0.9992,0.1204,0.1219,0.0000,0.0000,,gemini-2.5-pro
scenario2_self_cond,B,1196,0.9912,0.9941,0.9883,0.9908,0.0108,0.9582,0.0833,0.9891,0.3814,0.0306,33.5142,8.1067,3.4725,0.9967,-0.0145,-0.0124,3.4167,0.0025,1.0000,gemini-2.5-pro
scenario1,A,200,,,,0.0000,0.0150,1.0000,0.1703,0.5238,0.2811,0.0054,0.8150,28.4450,4.8350,1.0000,0.2623,0.2734,0.0000,0.0000,,claude-sonnet-4-6
scenario1,B,200,1.0000,1.0000,1.0000,0.0900,0.0200,0.9900,0.1904,0.7357,0.4344,0.0165,17.8750,32.7100,5.4150,1.0000,0.1208,0.1362,7.3400,0.2700,1.0000,claude-sonnet-4-6
scenario2_local_inpaint,A,200,,,,0.0000,0.0000,1.0000,0.1887,0.5122,0.2666,0.0056,0.5400,28.5100,4.6950,1.0000,0.0500,0.0679,0.0000,0.0000,,claude-sonnet-4-6
scenario2_local_inpaint,B,199,0.9331,0.9500,0.9384,0.1000,0.0050,0.9698,0.1806,0.7495,0.4400,0.0166,17.8650,32.2350,5.4050,0.9900,0.1192,0.1143,6.8000,0.0800,1.0000,claude-sonnet-4-6
scenario2_self_cond,A,200,,,,0.0000,0.0250,1.0000,0.1875,0.5275,0.2772,0.0059,0.6700,29.0500,4.7300,0.9950,0.0773,0.0707,0.0000,0.0000,,claude-sonnet-4-6
scenario2_self_cond,B,200,0.9706,1.0000,0.9309,0.1000,0.0050,0.9900,0.1878,0.7392,0.4372,0.0162,17.5400,32.3050,5.4400,1.0000,0.0079,-0.0139,8.0850,0.1800,1.0000,claude-sonnet-4-6
